Country,DevType,EdLevel,Employment,YearsCodePro,Age,ConvertedCompYearly,JobSat,RemoteWork,LanguageHaveWorkedWith,OpSys
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,Less than 1 year,45-54 years old,36611.35374071229,4,Remote,Go;C++;Python;Kotlin,macOS
United States,Back-end developer,Masters degree,Employed full-time,25,45-54 years old,144184.61294447875,4,Remote,Go;Rust;TypeScript;Java,macOS
United Kingdom,Front-end developer,Associate degree,Employed full-time,3,25-34 years old,59514.270086599485,4,Hybrid,C++;Rust;PHP,macOS
Canada,Full-stack developer,Bachelors degree,Student,20,25-34 years old,92779.21055199666,4,Hybrid,C++;PHP,Linux
Germany,Desktop developer,Secondary school,Employed full-time,More than 50 years,65 years or older,93160.45325072383,5,Remote,C#,Windows
Canada,Mobile developer,Bachelors degree,Employed full-time,17,25-34 years old,45851.20910375624,5,Hybrid,JavaScript;C#;Kotlin,macOS
India,Full-stack developer,Masters degree,Employed full-time,14,45-54 years old,69197.11331496929,4,In-person,C#;TypeScript,Windows
India,Full-stack developer,Associate degree,Student,1,18-24 years old,31539.890265401955,5,In-person,Rust;Python;JavaScript;Go,Windows
India,Back-end developer,Bachelors degree,Employed full-time,17,18-24 years old,8297.509920555298,3,Hybrid,Rust;PHP,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,25,25-34 years old,,5,Hybrid,Go;Java,Linux
United States,Mobile developer,Bachelors degree,Employed full-time,27,25-34 years old,,4,In-person,Java;Kotlin,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,8,35-44 years old,119339.49472560879,5,Remote,Rust;Python;Kotlin;JavaScript,macOS
Germany,Back-end developer,Some college,Employed full-time,5,65 years or older,64926.99479248807,4,Remote,Python;Rust;JavaScript;C++,Linux
United States,Full-stack developer,Other doctoral degree,Employed full-time,5,25-34 years old,116552.50085092676,3,Remote,PHP;Java;Kotlin,Windows
India,Back-end developer,Bachelors degree,Employed full-time,9,18-24 years old,,4,Remote,TypeScript;C#,Windows
Australia,DevOps specialist,Bachelors degree,Employed full-time,3,35-44 years old,,4,In-person,C#,Windows
United States,DevOps specialist,Bachelors degree,Employed full-time,19,35-44 years old,131409.74661727148,4,Hybrid,C#;TypeScript,Windows
India,Back-end developer,Some college,Employed full-time,23,18-24 years old,,4,Hybrid,C#;Rust;Java,Windows
Canada,Mobile developer,Bachelors degree,Employed full-time,9,25-34 years old,,5,In-person,C++;JavaScript;TypeScript;Java,Windows
United States,Embedded developer,Masters degree,Self-employed,22,35-44 years old,113743.27053896956,4,Hybrid,Rust,macOS
United States,Full-stack developer,Masters degree,Freelancer,30,35-44 years old,,4,Remote,TypeScript;JavaScript;C++,Linux
United States,Back-end developer,Masters degree,Freelancer,18,25-34 years old,114238.74403297443,3,Remote,Go;Rust;JavaScript;Python,Linux
United States,Back-end developer,Bachelors degree,Student,16,25-34 years old,128620.45916021787,5,Remote,TypeScript;Java;JavaScript,Windows
Australia,Back-end developer,Some college,Employed full-time,1,65 years or older,,5,Hybrid,JavaScript;Rust;C#;PHP,Windows
France,Embedded developer,Bachelors degree,Self-employed,2,35-44 years old,58882.956346943785,5,Remote,Rust;PHP;Java;TypeScript,Linux
Germany,Embedded developer,Bachelors degree,Employed full-time,14,25-34 years old,67452.2696507558,3,Hybrid,C++;Kotlin;Java,Linux
Brazil,Front-end developer,Secondary school,Employed full-time,14,25-34 years old,86897.08062361389,4,Hybrid,C++,Windows
France,DevOps specialist,Some college,Employed full-time,1,35-44 years old,45341.4792378293,2,Remote,JavaScript;Java,Windows
United States,Desktop developer,Bachelors degree,Employed full-time,26,25-34 years old,105195.35494902583,4,Remote,Python;PHP,macOS
Brazil,Mobile developer,Bachelors degree,Self-employed,26,18-24 years old,102419.8713169022,2,Hybrid,Go;Kotlin,Windows
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,25,25-34 years old,44556.95129308663,4,Hybrid,JavaScript;TypeScript;Java,Windows
France,Embedded developer,Bachelors degree,Employed full-time,16,25-34 years old,12297.726026139273,4,Hybrid,TypeScript;Kotlin;JavaScript;Rust,Windows
Brazil,Desktop developer,Bachelors degree,Not employed,15,35-44 years old,,4,Remote,Kotlin;Go;PHP;Java,macOS
United States,Embedded developer,Bachelors degree,Employed full-time,26,18-24 years old,,4,Hybrid,PHP;JavaScript,macOS
United States,Mobile developer,Masters degree,Employed full-time,15,35-44 years old,,5,Remote,Java;TypeScript;Rust;Python,Windows
United States,Data scientist or machine learning specialist,Some college,Not employed,12,25-34 years old,57229.706675319205,2,Hybrid,C++;TypeScript,Windows
India,Front-end developer,Masters degree,Employed full-time,16,18-24 years old,,5,Hybrid,C++;Rust;C#;JavaScript,Windows
France,Back-end developer,Masters degree,Employed full-time,14,18-24 years old,37161.163616773774,3,Hybrid,TypeScript,Windows
Brazil,Front-end developer,Bachelors degree,Employed full-time,29,55-64 years old,61198.10513592877,1,In-person,Kotlin;Go;TypeScript;Python,Windows
United States,Embedded developer,Associate degree,Employed full-time,24,45-54 years old,,3,Hybrid,TypeScript;C#;C++;Java,Windows
India,Front-end developer,Secondary school,Student,15,25-34 years old,26658.2370634408,5,Remote,Go;Python;Rust;Kotlin,Windows
India,Desktop developer,Some college,Employed full-time,23,35-44 years old,16701.674437593454,4,Remote,JavaScript,macOS
United States,Full-stack developer,Secondary school,Employed full-time,15,35-44 years old,,5,In-person,Rust;PHP,Linux
United States,Embedded developer,Other doctoral degree,Employed full-time,19,65 years or older,148227.1372349125,4,Hybrid,Rust,macOS
United States,Embedded developer,Masters degree,Employed full-time,8,25-34 years old,135706.91206020565,1,Hybrid,PHP,Linux
Netherlands,Desktop developer,Bachelors degree,Freelancer,2,35-44 years old,53467.72438677575,4,Remote,C#,BSD
United States,DevOps specialist,Masters degree,Employed full-time,2,18-24 years old,,2,Hybrid,C++,macOS
India,Data scientist or machine learning specialist,Some college,Employed full-time,27,25-34 years old,5000.0,5,Remote,Go;Python;TypeScript;C#,Windows
United Kingdom,Back-end developer,Some college,Employed full-time,10,55-64 years old,31928.82740872675,3,Remote,C#;Java;Go;TypeScript,Windows
India,Desktop developer,Masters degree,Employed part-time,3,25-34 years old,23324.33800221871,3,Remote,Rust,macOS
Poland,Data scientist or machine learning specialist,Bachelors degree,Not employed,23,25-34 years old,,5,Hybrid,C#;PHP;C++;Python,macOS
Netherlands,Mobile developer,Bachelors degree,Employed full-time,17,18-24 years old,55953.22186259825,5,In-person,C++,macOS
United States,Data scientist or machine learning specialist,Other doctoral degree,Employed full-time,8,35-44 years old,116335.09513581436,4,In-person,TypeScript;Rust;C++;Java,Linux
India,Mobile developer,Masters degree,Employed full-time,28,35-44 years old,5000.0,5,Hybrid,Rust;Python;Go,Windows
United States,Desktop developer,Masters degree,Self-employed,23,25-34 years old,138918.59170540757,3,Remote,PHP;Java;Kotlin;C++,Windows
United States,Embedded developer,Bachelors degree,Employed full-time,4,55-64 years old,139063.52508658706,5,Hybrid,TypeScript;Java;Go;Python,Windows
United States,Embedded developer,Bachelors degree,Student,14,18-24 years old,135781.5040279982,4,Remote,PHP;Go;TypeScript,macOS
Germany,DevOps specialist,Secondary school,Employed full-time,Less than 1 year,25-34 years old,62415.58654305275,3,Hybrid,Go;C#,BSD
India,Desktop developer,Masters degree,Student,21,55-64 years old,10865.864632539886,3,Hybrid,Kotlin;JavaScript;Rust,Windows
United States,Mobile developer,Some college,Employed full-time,10,25-34 years old,,2,Hybrid,C#;JavaScript;Python,Linux
United States,Data scientist or machine learning specialist,Masters degree,Employed full-time,29,25-34 years old,121677.45003521867,4,In-person,Go;PHP;Rust;JavaScript,Linux
Australia,Data scientist or machine learning specialist,Masters degree,Employed full-time,1,25-34 years old,38391.85341442996,3,Hybrid,Python;Java;JavaScript,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,4,45-54 years old,,4,Remote,C++;Java;C#;Python,macOS
United States,Front-end developer,Some college,Not employed,More than 50 years,18-24 years old,111526.18566178648,5,Hybrid,Python;Rust;C#,Linux
India,DevOps specialist,Bachelors degree,Self-employed,Less than 1 year,55-64 years old,,1,Remote,Python;Go;JavaScript,Windows
Poland,Full-stack developer,Bachelors degree,Employed part-time,More than 50 years,35-44 years old,49240.4294235609,4,Remote,TypeScript;C#;Rust,Windows
United States,Embedded developer,Masters degree,Employed full-time,1,18-24 years old,129328.89193680523,4,Hybrid,Python,Windows
United Kingdom,Back-end developer,Other doctoral degree,Employed full-time,17,35-44 years old,,5,Hybrid,C++;TypeScript;Rust;Go,Windows
Canada,Data scientist or machine learning specialist,Bachelors degree,Self-employed,26,25-34 years old,54236.87938977765,4,Remote,C#;TypeScript;Go;C++,Windows
United States,Back-end developer,Secondary school,Employed full-time,17,25-34 years old,,4,Hybrid,C#;Python,Windows
United Kingdom,Full-stack developer,Bachelors degree,Employed full-time,7,35-44 years old,40169.45917790735,4,Hybrid,PHP;Python,Linux
India,Desktop developer,Bachelors degree,Employed full-time,23,55-64 years old,27105.572478193557,3,Hybrid,Python,Linux
Germany,Back-end developer,Bachelors degree,Employed full-time,More than 50 years,18-24 years old,78012.04985689267,2,In-person,Java,Linux
Germany,Full-stack developer,Bachelors degree,Employed full-time,More than 50 years,25-34 years old,,4,Hybrid,Python;Java;PHP;C++,macOS
India,Embedded developer,Masters degree,Employed full-time,20,25-34 years old,,2,Remote,Kotlin;TypeScript;C++;PHP,macOS
United States,Mobile developer,Bachelors degree,Employed full-time,15,25-34 years old,102371.32589546009,4,In-person,PHP,macOS
France,Front-end developer,Masters degree,Freelancer,13,25-34 years old,61806.1959841287,3,Hybrid,C++;Python;Go,Windows
United States,Embedded developer,Other doctoral degree,Employed full-time,28,18-24 years old,,4,Hybrid,Go;Rust;Java,Windows
United States,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,2,35-44 years old,,2,Hybrid,Java;Python;TypeScript,Windows
United States,Full-stack developer,Some college,Employed full-time,28,25-34 years old,,5,Remote,C#;Go;C++,Linux
Germany,Back-end developer,Bachelors degree,Self-employed,19,18-24 years old,67750.01994235863,5,Remote,PHP;Python;JavaScript,macOS
United Kingdom,Data scientist or machine learning specialist,Masters degree,Employed full-time,24,35-44 years old,78950.23817151134,3,Remote,TypeScript;Kotlin;PHP;JavaScript,Linux
United States,Front-end developer,Bachelors degree,Employed full-time,13,35-44 years old,,3,In-person,Rust;C#,Linux
India,Mobile developer,Bachelors degree,Employed full-time,24,25-34 years old,12632.6995991174,4,Remote,TypeScript;Go;PHP,Linux
United States,Desktop developer,Bachelors degree,Employed full-time,11,25-34 years old,,2,In-person,Rust;TypeScript;Java;C#,Linux
Germany,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,27,35-44 years old,33552.89636608004,4,Hybrid,PHP;C++;JavaScript,macOS
United States,Desktop developer,Bachelors degree,Student,22,25-34 years old,123080.63683367174,3,Hybrid,Python,macOS
United Kingdom,Full-stack developer,Masters degree,Student,15,25-34 years old,58346.04509963203,5,Hybrid,Kotlin;Rust,macOS
India,Front-end developer,Secondary school,Employed full-time,10,35-44 years old,47723.82749285085,5,Hybrid,Kotlin;Python;Go;PHP,Linux
Australia,Back-end developer,Some college,Employed full-time,9,18-24 years old,67181.10186960733,4,Remote,Python;TypeScript;Kotlin;C++,Windows
United States,Front-end developer,Masters degree,Not employed,27,18-24 years old,146684.5838834538,4,Remote,Rust,Windows
United States,Front-end developer,Bachelors degree,Employed full-time,28,18-24 years old,106052.71544167658,5,Hybrid,Kotlin;JavaScript;C#;Java,Windows
United States,DevOps specialist,Bachelors degree,Student,9,18-24 years old,142763.00661935238,5,In-person,JavaScript;Kotlin;C++,Windows
Australia,Front-end developer,Bachelors degree,Employed full-time,20,18-24 years old,,5,Hybrid,Kotlin,BSD
Brazil,Front-end developer,Bachelors degree,Not employed,More than 50 years,65 years or older,75551.92123584544,2,Remote,TypeScript,Windows
United States,Embedded developer,Masters degree,Self-employed,28,25-34 years old,90824.83214938613,3,Remote,Kotlin,Windows
United Kingdom,Data scientist or machine learning specialist,Masters degree,Not employed,1,18-24 years old,,4,Hybrid,TypeScript,Windows
France,Back-end developer,Bachelors degree,Employed part-time,17,25-34 years old,,4,Hybrid,Java;PHP;TypeScript,Windows
Germany,Embedded developer,Bachelors degree,Employed full-time,Less than 1 year,55-64 years old,69657.2502811649,1,Hybrid,Java;C#,macOS
India,Embedded developer,Secondary school,Not employed,12,25-34 years old,,2,In-person,Go;C++,Windows
United States,Data scientist or machine learning specialist,Some college,Employed full-time,10,25-34 years old,109580.62897537809,5,In-person,Kotlin;Java;C++;Python,macOS
United States,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,Less than 1 year,45-54 years old,98991.24742488065,5,Hybrid,Go;TypeScript;PHP,Windows
Brazil,Full-stack developer,Other doctoral degree,Self-employed,5,25-34 years old,76922.36938591868,4,In-person,C++;Kotlin,macOS
Australia,Data scientist or machine learning specialist,Associate degree,Self-employed,30,25-34 years old,57930.744203061535,5,In-person,Kotlin,Linux
Germany,DevOps specialist,Bachelors degree,Not employed,29,18-24 years old,65208.58705938657,4,Hybrid,Python;Rust;Java;C#,Linux
United States,DevOps specialist,Bachelors degree,Employed full-time,18,25-34 years old,120837.91842308553,5,Hybrid,C++,Windows
United States,Embedded developer,Masters degree,Self-employed,15,25-34 years old,,4,Hybrid,Go;Python,Linux
United Kingdom,Desktop developer,Other doctoral degree,Self-employed,6,35-44 years old,83070.05699563088,2,Remote,JavaScript,Linux
Brazil,Full-stack developer,Secondary school,Employed full-time,7,25-34 years old,,4,In-person,Kotlin;Java;Rust;C++,Windows
Brazil,Desktop developer,Bachelors degree,Employed full-time,17,25-34 years old,,4,Hybrid,Go;Java;PHP,Windows
Canada,Desktop developer,Bachelors degree,Employed full-time,6,18-24 years old,63329.70545154294,4,Remote,JavaScript;Java,BSD
Germany,Embedded developer,Masters degree,Employed full-time,8,18-24 years old,,2,Hybrid,Go;Kotlin,Windows
United States,Mobile developer,Masters degree,Freelancer,12,25-34 years old,106420.39307073737,5,Remote,Go;Kotlin,macOS
United States,Embedded developer,Bachelors degree,Employed full-time,21,55-64 years old,,3,Hybrid,Go;C#;Kotlin,Linux
Brazil,Back-end developer,Secondary school,Self-employed,14,25-34 years old,,3,Hybrid,C++,Windows
Germany,Back-end developer,Masters degree,Freelancer,12,35-44 years old,,4,Remote,Java,Windows
United States,Data scientist or machine learning specialist,Secondary school,Employed full-time,23,25-34 years old,,4,In-person,Rust;Kotlin;PHP;TypeScript,macOS
United States,Data scientist or machine learning specialist,Secondary school,Student,10,18-24 years old,119233.52328605254,4,Hybrid,Java,Linux
United Kingdom,Mobile developer,Some college,Employed full-time,22,18-24 years old,76375.31941697632,5,Hybrid,C++;Python;Kotlin;TypeScript,Windows
United States,Data scientist or machine learning specialist,Bachelors degree,Student,20,25-34 years old,142135.4903724866,4,In-person,Go;Java;C++;JavaScript,Linux
United States,Back-end developer,Masters degree,Employed full-time,15,18-24 years old,128295.68924158483,4,Hybrid,Go;C#;TypeScript,Windows
India,Desktop developer,Bachelors degree,Not employed,Less than 1 year,18-24 years old,,4,In-person,JavaScript;C#,macOS
United Kingdom,Embedded developer,Masters degree,Employed full-time,7,35-44 years old,21358.696829600813,1,In-person,Kotlin;Rust,Windows
United Kingdom,Front-end developer,Bachelors degree,Employed full-time,26,18-24 years old,,4,Remote,TypeScript;PHP;C#;Java,Windows
United States,DevOps specialist,Masters degree,Self-employed,9,25-34 years old,94620.34845491004,5,Hybrid,Kotlin;JavaScript;C#;Python,Windows
United Kingdom,Front-end developer,Bachelors degree,Employed full-time,10,25-34 years old,42222.80603928651,1,Remote,Kotlin;PHP;Rust;Python,Windows
United States,Front-end developer,Bachelors degree,Employed full-time,10,25-34 years old,116805.03004016826,4,In-person,JavaScript;C++,Linux
United States,Back-end developer,Bachelors degree,Employed full-time,16,25-34 years old,99716.71563746064,5,Hybrid,Python;Rust;Go,Linux
Canada,Front-end developer,Bachelors degree,Self-employed,29,25-34 years old,66779.51787336523,4,Remote,PHP;Python;JavaScript,macOS
Germany,Embedded developer,Some college,Employed full-time,7,25-34 years old,70354.52994401054,4,In-person,C++;Go;JavaScript,Linux
France,Mobile developer,Some college,Employed full-time,28,35-44 years old,60210.91423482051,5,Remote,Go,Windows
United Kingdom,Full-stack developer,Masters degree,Employed full-time,30,45-54 years old,,3,Hybrid,JavaScript;Go,Linux
Germany,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,5,18-24 years old,51395.3653159926,2,Hybrid,Rust;Java;JavaScript;C++,macOS
United States,Full-stack developer,Bachelors degree,Employed full-time,23,18-24 years old,128374.09156584737,5,Hybrid,Rust;Go;TypeScript,Windows
